storeId,store_name,store_image,store_rating,store_category,store_address,store_view,store_review
100,마노커피하우스,"https://mp-seoul-image-production-s3.mangoplate.com/59110_1642087840848000.jpg?fit=around|359:240&crop=359:240;*,*&output-format=jpg&output-quality=80",4.1,카페 / 디저트,제주 중문단지 ,"10,738",9
101,아줄레주,"https://mp-seoul-image-production-s3.mangoplate.com/726810_1513264128652523.jpg?fit=around|359:240&crop=359:240;*,*&output-format=jpg&output-quality=80",4.1,카페 / 디저트,제주 성산/우도 ,"16,857",22
102,바그다드,"https://mp-seoul-image-production-s3.mangoplate.com/1134012_1580715215465877.jpg?fit=around|359:240&crop=359:240;*,*&output-format=jpg&output-quality=80",4.1,인도 음식,제주 제주시내 ,"85,684",65
103,랜디스도넛                                    (제주직영점),"https://mp-seoul-image-production-s3.mangoplate.com/573810_1641303627133871.jpg?fit=around|359:240&crop=359:240;*,*&output-format=jpg&output-quality=80",4.1,(제주직영점),제주 한림/애월 ,"17,282",33
104,닻,"https://mp-seoul-image-production-s3.mangoplate.com/added_restaurants/58228_1462029994540594.jpg?fit=around|359:240&crop=359:240;*,*&output-format=jpg&output-quality=80",4.1,일반 주점,제주 한림/애월 ,"97,207",35
105,은희네해장국,"https://mp-seoul-image-production-s3.mangoplate.com/15402/1482016_1610927340941_4907?fit=around|359:240&crop=359:240;*,*&output-format=jpg&output-quality=80",4.1,탕 / 찌개 / 전골,제주 제주시내 ,"88,524",84
106,플레이스엉물,"https://mp-seoul-image-production-s3.mangoplate.com/327913_1528379459757406.jpg?fit=around|359:240&crop=359:240;*,*&output-format=jpg&output-quality=80",4.1,카페 / 디저트,제주 함덕/김녕 ,"21,954",20
107,풍로,"https://mp-seoul-image-production-s3.mangoplate.com/444240/1151020_1657421953846_10207?fit=around|359:240&crop=359:240;*,*&output-format=jpg&output-quality=80",4.1,고기 요리,제주 모슬포/화순 ,"6,045",7
108,카페록록,"https://mp-seoul-image-production-s3.mangoplate.com/387976_1593845486413776.jpg?fit=around|359:240&crop=359:240;*,*&output-format=jpg&output-quality=80",4.1,카페 / 디저트,제주 함덕/김녕 ,"11,433",18
109,한라산아래첫마을영농조합법인,"https://mp-seoul-image-production-s3.mangoplate.com/27597_1628207341810103.jpg?fit=around|359:240&crop=359:240;*,*&output-format=jpg&output-quality=80",4.1,카페 / 디저트,제주 모슬포/화순 ,"13,296",15
110,아베베베이커리,"https://mp-seoul-image-production-s3.mangoplate.com/835806_1651459690756375.jpg?fit=around|359:240&crop=359:240;*,*&output-format=jpg&output-quality=80",4.1,베이커리,제주 제주시내 ,"8,489",13
111,물항식당                                    (탑동점),"https://mp-seoul-image-production-s3.mangoplate.com/290723_1619258218823222.jpg?fit=around|359:240&crop=359:240;*,*&output-format=jpg&output-quality=80",4.1,(탑동점),제주 제주시내 ,"40,877",25
